gsm,title,label
GSM1979567,CCA Tumor Tissue LCS_620A,1
GSM1979568,CCA Non-Tumor Tissue LCS_620B,0
GSM1979569,CCA Tumor Tissue LCS_621A,1
GSM1979570,CCA Non-Tumor Tissue LCS_621B,0
GSM1979571,CCA Tumor Tissue LCS_623A,1
GSM1979572,CCA Non-Tumor Tissue LCS_623B,0
GSM1979573,CCA Tumor Tissue LCS_624A,1
GSM1979574,CCA Non-Tumor Tissue LCS_624B,0
GSM1979575,CCA Tumor Tissue LCS_625A,1
GSM1979576,CCA Non-Tumor Tissue LCS_625B,0
GSM1979577,CCA Tumor Tissue LCS_626A,1
GSM1979578,CCA Non-Tumor Tissue LCS_626B,0
GSM1979579,CCA Tumor Tissue LCS_627A,1
GSM1979580,CCA Non-Tumor Tissue LCS_627B,0
GSM1979581,CCA Tumor Tissue LCS_628A,1
GSM1979582,CCA Non-Tumor Tissue LCS_628B,0
GSM1979583,CCA Tumor Tissue LCS_630A,1
GSM1979584,CCA Non-Tumor Tissue LCS_630B,0
GSM1979585,CCA Tumor Tissue LCS_631A,1
GSM1979586,CCA Non-Tumor Tissue LCS_631B,0
GSM1979587,CCA Tumor Tissue LCS_633A,1
GSM1979588,CCA Non-Tumor Tissue LCS_633B,0
GSM1979589,CCA Tumor Tissue LCS_634A,1
GSM1979590,CCA Non-Tumor Tissue LCS_634B,0
GSM1979591,CCA Tumor Tissue LCS_635A,1
GSM1979592,CCA Non-Tumor Tissue LCS_635B,0
GSM1979593,CCA Tumor Tissue LCS_636A,1
GSM1979594,CCA Non-Tumor Tissue LCS_636B,0
GSM1979595,CCA Tumor Tissue LCS_637A,1
GSM1979596,CCA Non-Tumor Tissue LCS_637B,0
GSM1979597,CCA Tumor Tissue LCS_638A,1
GSM1979598,CCA Non-Tumor Tissue LCS_638B,0
GSM1979599,CCA Tumor Tissue LCS_639A,1
GSM1979600,CCA Non-Tumor Tissue LCS_639B,0
GSM1979601,CCA Tumor Tissue LCS_640A,1
GSM1979602,CCA Non-Tumor Tissue LCS_640B,0
GSM1979603,CCA Tumor Tissue LCS_641A,1
GSM1979604,CCA Non-Tumor Tissue LCS_641B,0
GSM1979605,CCA Tumor Tissue LCS_642A,1
GSM1979606,CCA Non-Tumor Tissue LCS_642B,0
GSM1979607,CCA Tumor Tissue LCS_643A,1
GSM1979608,CCA Non-Tumor Tissue LCS_643B,0
GSM1979609,CCA Tumor Tissue LCS_644A,1
GSM1979610,CCA Non-Tumor Tissue LCS_644B,0
GSM1979611,CCA Tumor Tissue LCS_645A,1
GSM1979612,CCA Non-Tumor Tissue LCS_645B,0
GSM1979613,CCA Tumor Tissue LCS_646A,1
GSM1979614,CCA Non-Tumor Tissue LCS_646B,0
GSM1979615,CCA Tumor Tissue LCS_648A,1
GSM1979616,CCA Non-Tumor Tissue LCS_648B,0
GSM1979617,CCA Tumor Tissue LCS_649A,1
GSM1979618,CCA Non-Tumor Tissue LCS_649B,0
GSM1979619,CCA Tumor Tissue LCS_650A,1
GSM1979620,CCA Non-Tumor Tissue LCS_650B,0
GSM1979621,CCA Tumor Tissue LCS_651A,1
GSM1979622,CCA Non-Tumor Tissue LCS_651B,0
GSM1979623,CCA Tumor Tissue LCS_652A,1
GSM1979624,CCA Non-Tumor Tissue LCS_652B,0
GSM1979625,CCA Tumor Tissue LCS_653A,1
GSM1979626,CCA Non-Tumor Tissue LCS_653B,0
GSM1979627,CCA Tumor Tissue LCS_654A,1
GSM1979628,CCA Non-Tumor Tissue LCS_654B,0
GSM1979629,CCA Tumor Tissue LCS_657A,1
GSM1979630,CCA Non-Tumor Tissue LCS_657B,0
GSM1979631,CCA Tumor Tissue LCS_658A,1
GSM1979632,CCA Non-Tumor Tissue LCS_658B,0
GSM1979633,CCA Tumor Tissue LCS_664A,1
GSM1979634,CCA Non-Tumor Tissue LCS_664B,0
GSM1979635,CCA Tumor Tissue LCS_667A,1
GSM1979636,CCA Non-Tumor Tissue LCS_667B,0
GSM1979637,CCA Tumor Tissue LCS_668A,1
GSM1979638,CCA Non-Tumor Tissue LCS_668B,0
GSM1979639,CCA Tumor Tissue LCS_669A,1
GSM1979640,CCA Non-Tumor Tissue LCS_669B,0
GSM1979641,CCA Tumor Tissue LCS_670A,1
GSM1979642,CCA Non-Tumor Tissue LCS_670B,0
GSM1979643,CCA Tumor Tissue LCS_671A,1
GSM1979644,CCA Non-Tumor Tissue LCS_671B,0
GSM1979645,CCA Tumor Tissue LCS_674A,1
GSM1979646,CCA Non-Tumor Tissue LCS_674B,0
GSM1979647,CCA Tumor Tissue LCS_675A,1
GSM1979648,CCA Non-Tumor Tissue LCS_675B,0
GSM1979649,CCA Tumor Tissue LCS_677A,1
GSM1979650,CCA Non-Tumor Tissue LCS_677B,0
GSM1979651,CCA Tumor Tissue LCS_678A,1
GSM1979652,CCA Non-Tumor Tissue LCS_678B,0
GSM1979653,CCA Tumor Tissue LCS_679A,1
GSM1979654,CCA Non-Tumor Tissue LCS_679B,0
GSM1979655,CCA Tumor Tissue LCS_680A,1
GSM1979656,CCA Non-Tumor Tissue LCS_680B,0
GSM1979657,CCA Tumor Tissue LCS_681A,1
GSM1979658,CCA Non-Tumor Tissue LCS_681B,0
GSM1979659,CCA Tumor Tissue LCS_682A,1
GSM1979660,CCA Non-Tumor Tissue LCS_682B,0
GSM1979661,CCA Tumor Tissue LCS_683A,1
GSM1979662,CCA Non-Tumor Tissue LCS_683B,0
GSM1979663,CCA Tumor Tissue LCS_684A,1
GSM1979664,CCA Non-Tumor Tissue LCS_684B,0
GSM1979665,CCA Tumor Tissue LCS_685A,1
GSM1979666,CCA Non-Tumor Tissue LCS_685B,0
GSM1979667,CCA Tumor Tissue LCS_687A,1
GSM1979668,CCA Non-Tumor Tissue LCS_687B,0
GSM1979669,CCA Tumor Tissue LCS_688A,1
GSM1979670,CCA Non-Tumor Tissue LCS_688B,0
